REAL TANAM INTI,,,,,,,,,,,,,,,,
UPDATE NOVEMBER 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ESTATE,,,,TT,HA STATEMENT,,,,,,,,SERANGAN GANODERMA (PKK),,,
LAMA,BARU,BARU,BARU,,LUAS TANAM,,,TOTAL,,,TOTAL PKK,SPH,STADIUM 1&2,STADIUM 3&4,TOTAL,%SERANGAN
,,,,,SD THN 2024,PENAMBAHAN,SD 2025,TANAM,SISIP,SISIP KENTOSAN,,,,,,
,,,,,,,,,,,,,,,,
AME,AME,AME004,B012C,2019, 0.4 ,, 0.4 , 61 , 9 , -   , 70 , 175 , -   , -   , -   ,0.00%
AME,AME,AME004,B012D,2025, - , 1.1 , 1.1 , 149 , -   , -   , 149 , 135 , -   , -   , -   ,0.00%
AME,AME,AME004,B013A,2016, 25.2 ,, 25.2 ," 2,540 ", 713 , 22 ," 3,275 ", 130 , 20 , 3 , 23 ,0.70%
AME,AME,AME004,B013B,2018, 2.4 ,, 2.4 , 294 , 33 , -   , 327 , 136 , -   , -   , -   ,0.00%
AME,AME,AME004,B013C,2025, - , 0.9 , 0.9 , 134 , -   , -   , 134 , 149 , -   , -   , -   ,0.00%
AME,AME,AME004,B014A,2013, 4.0 ,, 4.0 , 517 , -   , -   , 517 , 129 , 50 , 18 , 68 ,13.15%
AME,AME,AME004,B014B,2018, 5.1 ,, 5.1 , 712 , 40 , -   , 752 , 147 , 1 , -   , 1 ,0.13%
AME,AME,AME004,B014C,2019, 14.3 ,, 14.3 ," 1,592 ", 343 , -   ," 1,935 ", 135 , -   , -   , -   ,0.00%
AME,AME,AME004,B014D,2020, 0.6 ,, 0.6 , 60 , 18 , -   , 78 , 130 , -   , -   , -   ,0.00%
AME,AME,AME004,B014E,2021, 6.9 ,, 6.9 , 847 , 107 , -   , 954 , 138 , -   , -   , -   ,0.00%
AME,AME,AME004,B015A,2013, 0.6 ,, 0.6 , 61 , -   , -   , 61 , 102 , 1 , -   , 1 ,1.64%
AME,AME,AME004,B015B,2017, 1.6 ,, 1.6 , 176 , 64 , -   , 240 , 150 , -   , -   , -   ,0.00%
AME,AME,AME004,B015C,2021, 3.3 ,, 3.3 , 356 , 107 , -   , 463 , 140 , -   , -   , -   ,0.00%
AME,AME,AME004,B015D,2023, 4.3 ,, 4.3 , 589 , 15 , -   , 604 , 140 , -   , -   , -   ,0.00%
AME,AME,AME004,B015E,2025,, 1.1 , 1.1 , 139 , -   , -   , 139 , 126 , -   , -   , -   ,0.00%
AME,AME,AME004,B016A,2013, 0.9 ,, 0.9 , 139 , -   , -   , 139 , 154 , 1 , -   , 1 ,0.72%
AME,AME,AME004,B016B,2017, 1.0 ,, 1.0 , 141 , -   , -   , 141 , 141 , -   , -   , -   ,0.00%
AME,AME,AME004,B016C,2018, 0.5 ,, 0.5 , 63 , 8 , -   , 71 , 142 , -   , -   , -   ,0.00%
AME,AME,AME004,B016D,2019, 0.1 ,, 0.1 , 11 , 3 , -   , 14 , 140 , -   , -   , -   ,0.00%
